"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "CSS", "XML", "SCSS", "YAML", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/splash/splash.scss", "SCSS", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/menu-animate.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 0, 0, 7, 55
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/saved-palettes-animate.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/tarot.js", "JavaScript", 0, 0, 0, 218, 0, 0, 0, 0, 2, 25, 245
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/tarot.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/tarotBackup.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 1, 14, 92
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.actions.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.reducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.selectors.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.types.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/root-reducer.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/store.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/serviceWorker.js", "JavaScript", 0, 0, 0, 98, 0, 0, 0, 0, 31, 13, 142
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/styles/mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/styles/variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 37, 30402, 37, 2155, 246, 371, 428, 34, 144, 417, 34271
